"phi","n","CI","target","cov","LB","UB"
-0.4,100,"stdCI","mu",0.9572,0.953002040497392,0.961042411049887
-0.4,100,"stuCI","mu",0.9667,0.962947830562612,0.970088656687004
-0.4,100,"pctCI","mu",0.9548,0.950498593831352,0.958747836814093
-0.4,100,"ctrCI","mu",0.9561,0.951854222863356,0.959991137086947
-0.4,100,"propCI","mu",0.9553,0.951019878745266,0.959226140449624
-0.4,100,"bcCI","mu",0.9544,0.950081663899016,0.958365095596999
-0.4,100,"bcaCI","mu",0.9458,0.941136864847053,0.950116908170437
-0.4,200,"stdCI","mu",0.9613,0.957286759974473,0.964954283406753
-0.4,200,"stuCI","mu",0.969,0.96536619615488,0.972268320171983
-0.4,200,"pctCI","mu",0.9589,0.954777349411287,0.962665693501091
-0.4,200,"ctrCI","mu",0.959,0.954881834394465,0.962761125467408
-0.4,200,"propCI","mu",0.9588,0.954672870657197,0.962570255283943
-0.4,200,"bcCI","mu",0.9578,0.953628421024208,0.96161553403677
-0.4,200,"bcaCI","mu",0.9492,0.944669029619667,0.953381982389288
-0.4,400,"stdCI","mu",0.9538,0.949456429792539,0.95779082247675
-0.4,400,"stuCI","mu",0.9597,0.955613405534415,0.963428972353872
-0.4,400,"pctCI","mu",0.9521,0.947685952449688,0.956162692888681
-0.4,400,"ctrCI","mu",0.9509,0.946437079656677,0.955012546410588
-0.4,400,"propCI","mu",0.9518,0.947373667632259,0.95587522308419
-0.4,400,"bcCI","mu",0.9499,0.945396885284869,0.954053556510763
-0.4,400,"bcaCI","mu",0.9441,0.939372633566038,0.948482515069869
-0.4,800,"stdCI","mu",0.96,0.955927031675875,0.963715096455475
-0.4,800,"stuCI","mu",0.9628,0.958857107159096,0.96638267925948
-0.4,800,"pctCI","mu",0.959,0.954881834394465,0.962761125467408
-0.4,800,"ctrCI","mu",0.9582,0.954046127742102,0.961997495922203
-0.4,800,"propCI","mu",0.9585,0.954359471553957,0.9622839033443
-0.4,800,"bcCI","mu",0.9571,0.952897664433187,0.960946869792298
-0.4,800,"bcaCI","mu",0.9494,0.94487696514991,0.953573884006249
-0.4,1600,"stdCI","mu",0.9553,0.951019878745266,0.959226140449624
-0.4,1600,"stuCI","mu",0.9575,0.95331520403999,0.961328999354203
-0.4,1600,"pctCI","mu",0.9536,0.949248060772221,0.957599355623671
-0.4,1600,"ctrCI","mu",0.954,0.949664819899833,0.957982268177746
-0.4,1600,"propCI","mu",0.9545,0.950185888283893,0.958460789024928
-0.4,1600,"bcCI","mu",0.9535,0.949143884129258,0.957503614305738
-0.4,1600,"bcaCI","mu",0.9434,0.938646526435033,0.94780918776582
-0.4,3200,"stdCI","mu",0.9546,0.95029011805629,0.958556477048432
-0.4,3200,"stuCI","mu",0.9553,0.951019878745266,0.959226140449624
-0.4,3200,"pctCI","mu",0.953,0.948623078948207,0.957024829443725
-0.4,3200,"ctrCI","mu",0.9527,0.948310657700524,0.956737496477709
-0.4,3200,"propCI","mu",0.9533,0.94893554649763,0.957312115967603
-0.4,3200,"bcCI","mu",0.9532,0.948831385477185,0.957216358979351
-0.4,3200,"bcaCI","mu",0.94,0.935122418073303,0.944536036548708
-0.2,100,"stdCI","mu",0.9475,0.942902311551768,0.951750082676823
-0.2,100,"stuCI","mu",0.9587,0.95456839811058,0.962474810837707
-0.2,100,"pctCI","mu",0.9458,0.941136864847053,0.950116908170437
-0.2,100,"ctrCI","mu",0.9452,0.9405140589474,0.949540199931951
-0.2,100,"propCI","mu",0.9458,0.941136864847053,0.950116908170437
-0.2,100,"bcCI","mu",0.9442,0.939476379177459,0.948578688623185
-0.2,100,"bcaCI","mu",0.9385,0.933569024558344,0.943090635852426
-0.2,200,"stdCI","mu",0.9458,0.941136864847053,0.950116908170437
-0.2,200,"stuCI","mu",0.9547,0.950394353233111,0.958652159650517
-0.2,200,"pctCI","mu",0.9454,0.94072164424087,0.94973245272772
-0.2,200,"ctrCI","mu",0.9442,0.939476379177459,0.948578688623185
-0.2,200,"propCI","mu",0.9454,0.94072164424087,0.94973245272772
-0.2,200,"bcCI","mu",0.945,0.940306490212699,0.949347930534741
-0.2,200,"bcaCI","mu",0.9353,0.930257733463508,0.940004493394168
-0.2,400,"stdCI","mu",0.9519,0.947477757588229,0.955971051350284
-0.2,400,"stuCI","mu",0.9556,0.951332715858943,0.959513056254432
-0.2,400,"pctCI","mu",0.9502,0.945708893646419,0.954341303573594
-0.2,400,"ctrCI","mu",0.9497,0.945188903226844,0.953861701552497
-0.2,400,"propCI","mu",0.9499,0.945396885284869,0.954053556510763
-0.2,400,"bcCI","mu",0.9497,0.945188903226844,0.953861701552497
-0.2,400,"bcaCI","mu",0.9387,0.933776097323833,0.943283402421796
-0.2,800,"stdCI","mu",0.9474,0.942798427119793,0.951654048306314
-0.2,800,"stuCI","mu",0.9503,0.945812905893612,0.954437209774249
-0.2,800,"pctCI","mu",0.9463,0.941655985288156,0.95059738254341
-0.2,800,"ctrCI","mu",0.9471,0.942486800093137,0.951365918854903
-0.2,800,"propCI","mu",0.9456,0.940929246178648,0.949924688836119
-0.2,800,"bcCI","mu",0.9445,0.939787640266106,0.948867184967359
-0.2,800,"bcaCI","mu",0.9326,0.92746645529104,0.93739793132623
-0.2,1600,"stdCI","mu",0.9522,0.947790057384716,0.956258506131294
-0.2,1600,"stuCI","mu",0.9545,0.950185888283893,0.958460789024928
