"phi","n","CI","target","cov","LB","UB"
-0.2,100,"pctCI","phi",0.9669,0.963157939569552,0.970278377115369
-0.2,100,"ctrCI","phi",0.9361,0.931085231995624,0.940776353965781
-0.2,100,"bcaCI","phi",0.8597,0.852703870502043,0.866417852702742
-0.2,100,"stdCI","phi",0.9317,0.926536537650403,0.936528567826964
-0.2,100,"stuCI","phi",0.9469,0.942279070516263,0.951173810721432
-0.2,1600,"pctCI","phi",0.915,0.909321949102345,0.920356418572816
-0.2,1600,"ctrCI","phi",0.9478,0.943213991282251,0.952038159282391
-0.2,1600,"bcaCI","phi",0.8778,0.871184199936693,0.88412339189802
-0.2,1600,"stdCI","phi",0.9485,0.943941399728795,0.95271018186283
-0.2,1600,"stuCI","phi",0.9499,0.945396885284869,0.954053556510763
-0.2,200,"pctCI","phi",0.9567,0.952480218572283,0.960564646171603
-0.2,200,"ctrCI","phi",0.9408,0.935951228139417,0.945306582618196
-0.2,200,"bcaCI","phi",0.8705,0.863725764653057,0.876987531501716
-0.2,200,"stdCI","phi",0.9405,0.935640396750503,0.945017655521359
-0.2,200,"stuCI","phi",0.9485,0.943941399728795,0.95271018186283
-0.2,3200,"pctCI","phi",0.8972,0.891043042227562,0.903049348385442
-0.2,3200,"ctrCI","phi",0.945,0.940306490212699,0.949347930534741
-0.2,3200,"bcaCI","phi",0.8543,0.847198119700446,0.861127812300299
-0.2,3200,"stdCI","phi",0.9472,0.942590671402201,0.951461966383575
-0.2,3200,"stuCI","phi",0.9485,0.943941399728795,0.95271018186283
-0.2,400,"pctCI","phi",0.9442,0.939476379177459,0.948578688623185
-0.2,400,"ctrCI","phi",0.9402,0.93532959855038,0.944728695157395
-0.2,400,"bcaCI","phi",0.8799,0.873331127095659,0.88617482236712
-0.2,400,"stdCI","phi",0.9409,0.936054846018378,0.945402884216908
-0.2,400,"stuCI","phi",0.9464,0.941759822111087,0.950693464649848
-0.2,800,"pctCI","phi",0.9364,0.931395598817207,0.941065746688475
