"phi","n","CI","target","cov","LB","UB"
-0.4,100,"stdCI","sigma",0.9105,0.904694840639488,0.915987080992744
-0.4,100,"stuCI","sigma",0.9246,0.919208820710553,0.929661939401593
-0.4,100,"pctCI","sigma",0.905,0.899045239804227,0.910641016885806
-0.4,100,"ctrCI","sigma",0.9094,0.903564428255866,0.914918361111805
-0.4,100,"propCI","sigma",0.907,0.901098936513854,0.912585744816173
-0.4,100,"bcCI","sigma",0.9092,0.903358925719789,0.914724021377597
-0.4,100,"bcaCI","sigma",0.8994,0.893298948459298,0.905191713580981
-0.4,200,"stdCI","sigma",0.9228,0.917353288640869,0.927918900911618
-0.4,200,"stuCI","sigma",0.9315,0.926329922912401,0.936335342242995
-0.4,200,"pctCI","sigma",0.919,0.913438757127729,0.924236445364516
-0.4,200,"ctrCI","sigma",0.9233,0.917868629554041,0.928403163084021
-0.4,200,"propCI","sigma",0.9215,0.916013701483996,0.926659519515474
-0.4,200,"bcCI","sigma",0.9232,0.917765556205001,0.928306315825181
-0.4,200,"bcaCI","sigma",0.9131,0.90736774287063,0.918512126202166
-0.4,400,"stdCI","sigma",0.9323,0.927156455081475,0.93710817121255
-0.4,400,"stuCI","sigma",0.939,0.93408673301928,0.943572525667916
-0.4,400,"pctCI","sigma",0.9299,0.924677437282333,0.934789104427107
-0.4,400,"ctrCI","sigma",0.9303,0.92509048731535,0.935175735398207
-0.4,400,"propCI","sigma",0.9299,0.924677437282333,0.934789104427107
-0.4,400,"bcCI","sigma",0.9307,0.925503584677967,0.935562318945525
-0.4,400,"bcaCI","sigma",0.9225,0.917044114962956,0.927628312683194
-0.4,800,"stdCI","sigma",0.9373,0.932326881502833,0.941933742233932
-0.4,800,"stuCI","sigma",0.9407,0.935847613974296,0.945210277296831
-0.4,800,"pctCI","sigma",0.9352,0.930154310982767,0.939907995954818
-0.4,800,"ctrCI","sigma",0.9364,0.931395598817207,0.941065746688475
-0.4,800,"propCI","sigma",0.9364,0.931395598817207,0.941065746688475
-0.4,800,"bcCI","sigma",0.9359,0.93087833748146,0.940583408747233
-0.4,800,"bcaCI","sigma",0.9313,0.926123320294872,0.936142104513976
-0.4,1600,"stdCI","sigma",0.9469,0.942279070516263,0.951173810721432
-0.4,1600,"stuCI","sigma",0.9488,0.94425321374584,0.952998123814779
-0.4,1600,"pctCI","sigma",0.9446,0.939891402081272,0.94896334227585
-0.4,1600,"ctrCI","sigma",0.946,0.94134450033319,0.950309110643172
-0.4,1600,"propCI","sigma",0.9441,0.939372633566038,0.948482515069869
-0.4,1600,"bcCI","sigma",0.9441,0.939372633566038,0.948482515069869
-0.4,1600,"bcaCI","sigma",0.9386,0.933672559176654,0.943187020905572
-0.4,3200,"stdCI","sigma",0.9443,0.939580128824469,0.948674858130711
-0.4,3200,"stuCI","sigma",0.9456,0.940929246178648,0.949924688836119
-0.4,3200,"pctCI","sigma",0.9432,0.938439103003567,0.94761677269798
-0.4,3200,"ctrCI","sigma",0.9416,0.936780275903603,0.946076890425495
-0.4,3200,"propCI","sigma",0.9421,0.93729855349081,0.94655820977546
-0.4,3200,"bcCI","sigma",0.9413,0.936469354849437,0.945788053207668
-0.4,3200,"bcaCI","sigma",0.9385,0.933569024558344,0.943090635852426
-0.2,100,"stdCI","sigma",0.9217,0.916219763948104,0.926853298416251
-0.2,100,"stuCI","sigma",0.9355,0.930464588272768,0.940197478403838
-0.2,100,"pctCI","sigma",0.915,0.909321949102345,0.920356418572816
-0.2,100,"ctrCI","sigma",0.9199,0.91436556049046,0.925108928967181
-0.2,100,"propCI","sigma",0.9188,0.913232827394864,0.924042533504524
-0.2,100,"bcCI","sigma",0.9197,0.914159587193405,0.924915060745264
-0.2,100,"bcaCI","sigma",0.913,0.907264911983642,0.918415036075354
-0.2,200,"stdCI","sigma",0.9337,0.928603362669917,0.938460144635266
-0.2,200,"stuCI","sigma",0.9431,0.938335397196727,0.947520559240502
-0.2,200,"pctCI","sigma",0.9302,0.924987220384623,0.935079082086683
-0.2,200,"ctrCI","sigma",0.9315,0.926329922912401,0.936335342242995
-0.2,200,"propCI","sigma",0.9327,0.927569794883624,0.937494511828635
-0.2,200,"bcCI","sigma",0.932,0.926846482591111,0.93681838332274
-0.2,200,"bcaCI","sigma",0.9257,0.920343178545124,0.930726707252709
-0.2,400,"stdCI","sigma",0.9424,0.937609565945778,0.946846955371381
-0.2,400,"stuCI","sigma",0.9476,0.943006200381585,0.951846112637627
-0.2,400,"pctCI","sigma",0.9396,0.93470810078712,0.944150675561334
-0.2,400,"ctrCI","sigma",0.9404,0.935536793674388,0.944921339084768
-0.2,400,"propCI","sigma",0.9398,0.934915252174811,0.944343363327333
-0.2,400,"bcCI","sigma",0.9389,0.933983184237045,0.943476154811103
-0.2,400,"bcaCI","sigma",0.9349,0.929844063151603,0.939618483983526
-0.2,800,"stdCI","sigma",0.9473,0.942694547073855,0.951558009537963
-0.2,800,"stuCI","sigma",0.9514,0.946957357299018,0.955491860383371
-0.2,800,"pctCI","sigma",0.9451,0.94041027251552,0.949444067303186
-0.2,800,"ctrCI","sigma",0.9454,0.94072164424087,0.94973245272772
-0.2,800,"propCI","sigma",0.946,0.94134450033319,0.950309110643172
-0.2,800,"bcCI","sigma",0.9453,0.940617849518961,0.949636328410368
-0.2,800,"bcaCI","sigma",0.9385,0.933569024558344,0.943090635852426
-0.2,1600,"stdCI","sigma",0.946,0.94134450033319,0.950309110643172
-0.2,1600,"stuCI","sigma",0.9482,0.94362962638341,0.952422199127256
-0.2,1600,"pctCI","sigma",0.9442,0.939476379177459,0.948578688623185
-0.2,1600,"ctrCI","sigma",0.9449,0.940202712028365,0.949251789637236
-0.2,1600,"propCI","sigma",0.944,0.939268891980048,0.948386337480964
-0.2,1600,"bcCI","sigma",0.9445,0.939787640266106,0.948867184967359
-0.2,1600,"bcaCI","sigma",0.9388,0.933879639007935,0.943379780393013
-0.2,3200,"stdCI","sigma",0.95,0.945500883355465,0.954149476928366
-0.2,3200,"stuCI","sigma",0.9513,0.946853292016019,0.955396007371772
-0.2,3200,"pctCI","sigma",0.9491,0.944565068772065,0.953286024643954
-0.2,3200,"ctrCI","sigma",0.9495,0.94498093985835,0.95366982785195
-0.2,3200,"propCI","sigma",0.949,0.944461112519045,0.95319006229123
-0.2,3200,"bcCI","sigma",0.9488,0.94425321374584,0.952998123814779
-0.2,3200,"bcaCI","sigma",0.9432,0.938439103003567,0.94761677269798
0,100,"stdCI","sigma",0.9223,0.916838011964269,0.927434574388321
0,100,"stuCI","sigma",0.9381,0.933154921213875,0.942705060431186
0,100,"pctCI","sigma",0.9122,0.906442343196191,0.917638236630665
0,100,"ctrCI","sigma",0.9226,0.917147170293747,0.927725177992397
0,100,"propCI","sigma",0.9202,0.914674538768418,0.925399712936338
0,100,"bcCI","sigma",0.9225,0.917044114962956,0.927628312683194
0,100,"bcaCI","sigma",0.9099,0.904078220817679,0.915404174171666
0,200,"stdCI","sigma",0.9339,0.928810114063689,0.938653233280935
0,200,"stuCI","sigma",0.9416,0.936780275903603,0.946076890425495
0,200,"pctCI","sigma",0.9282,0.922922494081779,0.933145402339706
0,200,"ctrCI","sigma",0.9338,0.928706736778172,0.938556690550075
0,200,"propCI","sigma",0.933,0.927879832319094,0.937784234639526
0,200,"bcCI","sigma",0.9327,0.927569794883624,0.937494511828635
0,200,"bcaCI","sigma",0.9282,0.922922494081779,0.933145402339706
0,400,"stdCI","sigma",0.9438,0.939061420843964,0.948193970236971
0,400,"stuCI","sigma",0.9508,0.946333038689473,0.954916669012483
0,400,"pctCI","sigma",0.941,0.936158467619992,0.945499182084118
0,400,"ctrCI","sigma",0.9422,0.937402220465351,0.94665446216058
0,400,"propCI","sigma",0.9417,0.936883923813686,0.946173161921232
0,400,"bcCI","sigma",0.9421,0.93729855349081,0.94655820977546
0,400,"bcaCI","sigma",0.9361,0.931085231995624,0.940776353965781
0,800,"stdCI","sigma",0.9446,0.939891402081272,0.94896334227585
0,800,"stuCI","sigma",0.9475,0.942902311551768,0.951750082676823
0,800,"pctCI","sigma",0.9425,0.937713244470407,0.94694319617824
0,800,"ctrCI","sigma",0.9428,0.93802430329525,0.947231895290866
0,800,"propCI","sigma",0.9427,0.937920613135651,0.947135666147515
0,800,"bcCI","sigma",0.9413,0.936469354849437,0.945788053207668
0,800,"bcaCI","sigma",0.9368,0.931809468314844,0.94145155647973
0,1600,"stdCI","sigma",0.9487,0.944149271200351,0.952902147716477
0,1600,"stuCI","sigma",0.9506,0.946124971204467,0.954724899725153
0,1600,"pctCI","sigma",0.9454,0.94072164424087,0.94973245272772
0,1600,"ctrCI","sigma",0.9461,0.941448324410347,0.950405205528881
0,1600,"propCI","sigma",0.9462,0.941552152724964,0.950501296166016
0,1600,"bcCI","sigma",0.9443,0.939580128824469,0.948674858130711
0,1600,"bcaCI","sigma",0.9406,0.935744003514238,0.945113968261627
0,3200,"stdCI","sigma",0.9523,0.947894167342429,0.956354314336261
0,3200,"stuCI","sigma",0.9539,0.949560622202187,0.95788654797943
0,3200,"pctCI","sigma",0.9478,0.943213991282251,0.952038159282391
0,3200,"ctrCI","sigma",0.9498,0.945292891913079,0.953957631381034
0,3200,"propCI","sigma",0.9488,0.94425321374584,0.952998123814779
0,3200,"bcCI","sigma",0.9469,0.942279070516263,0.951173810721432
0,3200,"bcaCI","sigma",0.9444,0.939683882517269,0.9487710235822
0.2,100,"stdCI","sigma",0.9186,0.913026907253359,0.923848612037027
0.2,100,"stuCI","sigma",0.9338,0.928706736778172,0.938556690550075
0.2,100,"pctCI","sigma",0.9094,0.903564428255866,0.914918361111805
0.2,100,"ctrCI","sigma",0.9194,0.913850645497095,0.924624240132033
0.2,100,"propCI","sigma",0.9159,0.910247908144235,0.92122974789261
0.2,100,"bcCI","sigma",0.9176,0.911997449297989,0.922878861708607
0.2,100,"bcaCI","sigma",0.9074,0.901509770899893,0.912974595221483
0.2,200,"stdCI","sigma",0.9259,0.920549460437469,0.930920266329426
0.2,200,"stuCI","sigma",0.9351,0.930050891775213,0.939811495235233
0.2,200,"pctCI","sigma",0.9211,0.91560160665641,0.926271931560742
0.2,200,"ctrCI","sigma",0.9265,0.921168371516655,0.931500878035445
0.2,200,"propCI","sigma",0.9239,0.918487124252779,0.928984191934465
0.2,200,"bcCI","sigma",0.9241,0.918693310066586,0.92917784726598
0.2,200,"bcaCI","sigma",0.9153,0.909630581708046,0.92064754878717
0.2,400,"stdCI","sigma",0.9378,0.932844380368836,0.942415842118954
0.2,400,"stuCI","sigma",0.945,0.940306490212699,0.949347930534741
0.2,400,"pctCI","sigma",0.9343,0.929223655112469,0.939039372230309
0.2,400,"ctrCI","sigma",0.9388,0.933879639007935,0.943379780393013
0.2,400,"propCI","sigma",0.9369,0.93191294414381,0.941548000454316
0.2,400,"bcCI","sigma",0.9366,0.931602526817273,0.941258658347734
0.2,400,"bcaCI","sigma",0.9271,0.921787381559176,0.932081390592267
0.2,800,"stdCI","sigma",0.9406,0.935744003514238,0.945113968261627
0.2,800,"stuCI","sigma",0.9438,0.939061420843964,0.948193970236971
0.2,800,"pctCI","sigma",0.938,0.933051404120247,0.942608657813575
0.2,800,"ctrCI","sigma",0.9387,0.933776097323833,0.943283402421796
0.2,800,"propCI","sigma",0.9388,0.933879639007935,0.943379780393013
0.2,800,"bcCI","sigma",0.9389,0.933983184237045,0.943476154811103
0.2,800,"bcaCI","sigma",0.9358,0.93077489521264,0.940486931138822
0.2,1600,"stdCI","sigma",0.9437,0.938957691273778,0.948097780602061
0.2,1600,"stuCI","sigma",0.9457,0.941033053416097,0.950020800605489
0.2,1600,"pctCI","sigma",0.9409,0.936054846018378,0.945402884216908
0.2,1600,"ctrCI","sigma",0.9418,0.936987575518275,0.946269429613309
