"phi","n","blksize","CI","target","cov","LB","UB","CP_LB","CP_UB"
-0.2,100,10,"stdCI","mu",0.9169,0.911276968810422,0.922199896165197,0.911317596590515,0.922238166538189
-0.2,100,10,"stuCI","mu",0.9493,0.944772995074659,0.953477935514363,0.944817494016025,0.95351847429571
-0.2,100,10,"pctCI","mu",0.9146,0.908910470487926,0.91996821337674,0.90895083935918,0.92000630707363
-0.2,100,10,"ctrCI","mu",0.9118,0.906031110659311,0.917249784971305,0.906071166205355,0.917287661742111
-0.2,100,10,"bcCI","mu",0.9147,0.909013336774458,0.920065268048203,0.909053716873084,0.920103369455783
-0.2,100,10,"bcaCI","mu",0.914,0.908293319658834,0.919385838383384,0.908333621220776,0.919423885761983
-0.2,100,10,"propCI","mu",0.915,0.909321949102345,0.920356418572816,0.909362362898916,0.920394543096857
-0.2,100,5,"stdCI","mu",0.9346,0.929533844590411,0.939328942679545,0.929576523081071,0.939368515315042
-0.2,100,5,"stuCI","mu",0.95,0.945500883355465,0.954149476928366,0.945545472971641,0.954190057801229
-0.2,100,5,"pctCI","mu",0.934,0.928913494533155,0.938749772821137,0.928956101443649,0.938789303344565
-0.2,100,5,"ctrCI","mu",0.9319,0.926743164558122,0.936721781216461,0.926785522274499,0.936761163032736
-0.2,100,5,"bcCI","mu",0.934,0.928913494533155,0.938749772821137,0.928956101443649,0.938789303344565
-0.2,100,5,"bcaCI","mu",0.9343,0.929223655112469,0.939039372230309,0.929266297791224,0.939078923831239
-0.2,100,5,"propCI","mu",0.9343,0.929223655112469,0.939039372230309,0.929266297791224,0.939078923831239
-0.2,1600,12,"stdCI","mu",0.9491,0.944565068772065,0.953286024643954,0.94460954188783,0.95332655131918
-0.2,1600,12,"stuCI","mu",0.9505,0.946020944659017,0.954629007863716,0.94606559932066,0.954669618529393
-0.2,1600,12,"pctCI","mu",0.9472,0.942590671402201,0.951461966383575,0.942634900904161,0.951502376353151
-0.2,1600,12,"ctrCI","mu",0.9467,0.942071358250751,0.950981685230467,0.942115524143594,0.951022063997389
-0.2,1600,12,"bcCI","mu",0.9478,0.943213991282251,0.952038159282391,0.943258297384575,0.952078606430633
-0.2,1600,12,"bcaCI","mu",0.9467,0.942071358250751,0.950981685230467,0.942115524143594,0.951022063997389
-0.2,1600,12,"propCI","mu",0.9472,0.942590671402201,0.951461966383575,0.942634900904161,0.951502376353151
-0.2,1600,24,"stdCI","mu",0.9452,0.9405140589474,0.949540199931951,0.94055803519101,0.949580483934074
-0.2,1600,24,"stuCI","mu",0.9489,0.944357160847865,0.953094095343924,0.944401608173624,0.953134609878095
-0.2,1600,24,"pctCI","mu",0.944,0.939268891980048,0.948386337480964,0.939312717718403,0.948426544478825
-0.2,1600,24,"ctrCI","mu",0.943,0.938231695316172,0.947424341847017,0.938275396415086,0.947464483906872
-0.2,1600,24,"bcCI","mu",0.9429,0.938127997352226,0.947328120527245,0.938171686025021,0.947368256056138
-0.2,1600,24,"bcaCI","mu",0.943,0.938231695316172,0.947424341847017,0.938275396415086,0.947464483906872
-0.2,1600,24,"propCI","mu",0.9436,0.938853965688844,0.94800158697192,0.93889774148808,0.948041768076455
-0.2,200,12,"stdCI","mu",0.9302,0.924987220384623,0.935079082086683,0.925029377819107,0.935118342097347
-0.2,200,12,"stuCI","mu",0.9487,0.944149271200351,0.952902147716477,0.944193692771366,0.952942650074985
-0.2,200,12,"pctCI","mu",0.9294,0.924161190729942,0.934305749593921,0.924203254338977,0.934344951866131
-0.2,200,12,"ctrCI","mu",0.9276,0.92230329966894,0.932565074503904,0.922345153118311,0.932604145931732
-0.2,200,12,"bcCI","mu",0.9297,0.924470929897528,0.934595771274949,0.924513028660026,0.934634995229675
-0.2,200,12,"bcaCI","mu",0.9293,0.924057950160402,0.934209069869158,0.924100002059822,0.934248264905785
-0.2,200,12,"propCI","mu",0.9302,0.924987220384623,0.935079082086683,0.925029377819107,0.935118342097347
-0.2,200,6,"stdCI","mu",0.9405,0.935640396750503,0.945017655521359,0.935683789162712,0.945057632375059
-0.2,200,6,"stuCI","mu",0.9491,0.944565068772065,0.953286024643954,0.94460954188783,0.95332655131918
-0.2,200,6,"pctCI","mu",0.9383,0.933361965876285,0.942897855167544,0.933405089830574,0.942937683508059
-0.2,200,6,"ctrCI","mu",0.9363,0.93129213986023,0.940969285804703,0.931335022132713,0.941008976802229
-0.2,200,6,"bcCI","mu",0.9399,0.935018833305983,0.944439701760339,0.935062152218665,0.944479638389357
-0.2,200,6,"bcaCI","mu",0.941,0.936158467619992,0.945499182084118,0.936201921450224,0.945539192292851
-0.2,200,6,"propCI","mu",0.9393,0.934397400766418,0.943861616788687,0.934440646395145,0.94390151298112
-0.2,3200,15,"stdCI","mu",0.9527,0.948310657700524,0.956737496477709,0.94835560146852,0.956778235380418
-0.2,3200,15,"stuCI","mu",0.9534,0.949039712709705,0.957407867748376,0.949084749516864,0.95744864642309
-0.2,3200,15,"pctCI","mu",0.9511,0.946645176110138,0.955204286645674,0.946689909140816,0.955244932754168
-0.2,3200,15,"ctrCI","mu",0.9513,0.946853292016019,0.955396007371772,0.946898051247568,0.95543666521815
-0.2,3200,15,"bcCI","mu",0.9522,0.947790057384716,0.956258506131294,0.947834935015582,0.956299216312153
-0.2,3200,15,"bcaCI","mu",0.9522,0.947790057384716,0.956258506131294,0.947834935015582,0.956299216312153
-0.2,3200,15,"propCI","mu",0.9517,0.947269582639897,0.955779389839834,0.94731439439229,0.955820071045133
-0.2,3200,30,"stdCI","mu",0.9468,0.942175212225334,0.951077750139863,0.942219390823916,0.951118135163108
-0.2,3200,30,"stuCI","mu",0.9496,0.945084919212975,0.953765767038407,0.945129456960217,0.95380632391271
-0.2,3200,30,"pctCI","mu",0.9454,0.94072164424087,0.94973245272772,0.940765645671627,0.94977274946278
-0.2,3200,30,"ctrCI","mu",0.945,0.940306490212699,0.949347930534741,0.940350441298996,0.949388201774622
-0.2,3200,30,"bcCI","mu",0.9454,0.94072164424087,0.94973245272772,0.940765645671627,0.94977274946278
-0.2,3200,30,"bcaCI","mu",0.9459,0.94124068048243,0.950213011520003,0.941284745013312,0.950253339957521
-0.2,3200,30,"propCI","mu",0.9456,0.940929246178648,0.949924688836119,0.94097327282665,0.949964998274559
-0.2,400,15,"stdCI","mu",0.9376,0.932637370479841,0.942223012530722,0.932680409598104,0.942262793044462
-0.2,400,15,"stuCI","mu",0.9484,0.943837470777787,0.952614192132546,0.943881853782083,0.952654676163367
-0.2,400,15,"pctCI","mu",0.9358,0.93077489521264,0.940486931138822,0.93081771739695,0.940526587473828
-0.2,400,15,"ctrCI","mu",0.9332,0.928086539555322,0.937977367535128,0.92812905129363,0.938016841645433
-0.2,400,15,"bcCI","mu",0.9351,0.930050891775213,0.939811495235233,0.930093630050656,0.939851102831664
-0.2,400,15,"bcaCI","mu",0.9352,0.930154310982767,0.939907995954818,0.930197061230071,0.939947610528776
-0.2,400,15,"propCI","mu",0.9356,0.930568020615465,0.940293965959926,0.930610818800488,0.940333608394536
-0.2,400,8,"stdCI","mu",0.9435,0.938750244079226,0.947905389356528,0.938794007411168,0.947945563970555
-0.2,400,8,"stuCI","mu",0.9477,0.943110093621107,0.951942138176808,0.943154386935982,0.951982579148948
-0.2,400,8,"pctCI","mu",0.942,0.937194890347625,0.946461953549674,0.937238467486345,0.946502030004169
