"phi","n","CI","target","cov","LB","UB"
-0.2,100,"stdCI","rho",0.941,0.924083868589516,0.954426357785814
-0.2,100,"stuCI","rho",0.957,0.942014382962569,0.96835045836017
-0.2,100,"pctCI","rho",0.9852,0.975028905538662,0.991417273501197
-0.2,100,"ctrCI","rho",0.8224,0.796968381350333,0.845312209823653
-0.2,100,"bcCI","rho",0.8477,0.82357454555668,0.869104800398998
-0.2,100,"bcaCI","rho",0.8423,0.817879388783975,0.864043032421413
-0.2,100,"propCI","rho",0.9515,0.93580929849339,0.963606698979192
-0.2,1600,"stdCI","rho",0.9517,0.936034100171536,0.963780062612887
-0.2,1600,"stuCI","rho",0.9533,0.937834706620486,0.965164713735426
-0.2,1600,"pctCI","rho",0.9386,0.921422684925344,0.952308605145262
-0.2,1600,"ctrCI","rho",0.8654,0.842311661553315,0.88562591111843
-0.2,1600,"bcCI","rho",0.8712,0.848476742882807,0.891014143786599
-0.2,1600,"bcaCI","rho",0.87,0.84720011585583,0.889900440566422
-0.2,1600,"propCI","rho",0.951,0.935247555000098,0.963173021604121
-0.2,200,"stdCI","rho",0.9457,0.929314756071025,0.958553753462233
-0.2,200,"stuCI","rho",0.9542,0.938849306716873,0.965941767893659
-0.2,200,"pctCI","rho",0.9723,0.959595924838876,0.981214708647819
-0.2,200,"ctrCI","rho",0.8413,0.816825751026438,0.8631046391153
-0.2,200,"bcCI","rho",0.8576,0.834040902928206,0.878359265736605
-0.2,200,"bcaCI","rho",0.8508,0.826848296583037,0.872006286496759
-0.2,200,"propCI","rho",0.9504,0.934573948443962,0.962652109112935
-0.2,3200,"stdCI","rho",0.9513,0.935584556573246,0.963433273844257
-0.2,3200,"stuCI","rho",0.9528,0.93727159301934,0.964732447020254
-0.2,3200,"pctCI","rho",0.9209,0.901970078573565,0.936512897152377
-0.2,3200,"ctrCI","rho",0.8541,0.83033682229203,0.875091370829756
-0.2,3200,"bcCI","rho",0.8589,0.835417812044364,0.879571937898902
-0.2,3200,"bcaCI","rho",0.859,0.835523753336645,0.879665194944109
-0.2,3200,"propCI","rho",0.9494,0.933452425402693,0.961782734270735
-0.2,400,"stdCI","rho",0.9466,0.930319539667527,0.959340902505946
-0.2,400,"stuCI","rho",0.9522,0.936596368059032,0.964213200262163
-0.2,400,"pctCI","rho",0.963,0.948845069533585,0.973461905926162
-0.2,400,"ctrCI","rho",0.8566,0.832982153301346,0.877426026161411
-0.2,400,"bcCI","rho",0.8673,0.844329802551747,0.887392490394598
-0.2,400,"bcaCI","rho",0.8635,0.840294903972482,0.883857935450339
-0.2,400,"propCI","rho",0.9487,0.932668200059221,0.961173307588371
-0.2,800,"stdCI","rho",0.9498,0.933900863346118,0.962130660305874
-0.2,800,"stuCI","rho",0.9526,0.937046456471295,0.964559428165822
-0.2,800,"pctCI","rho",0.952,0.936371415483423,0.964039991961606
-0.2,800,"ctrCI","rho",0.866,0.842948818621425,0.886183930296986
-0.2,800,"bcCI","rho",0.8733,0.850712247698412,0.892961702945134
-0.2,800,"bcaCI","rho",0.8715,0.848795990498223,0.891292477836991
-0.2,800,"propCI","rho",0.95,0.934125167639916,0.962304535604417
-0.4,100,"stdCI","rho",0.9653,0.951483381550502,0.9754006646692
-0.4,100,"stuCI","rho",0.975,0.962764973790662,0.983415344310212
-0.4,100,"pctCI","rho",0.9546,0.939300658406059,0.966286694073071
-0.4,100,"ctrCI","rho",0.7827,0.755564172093041,0.807629974133066
-0.4,100,"bcCI","rho",0.7959,0.769288780993322,0.820201347575499
-0.4,100,"bcaCI","rho",0.791,0.764189431173871,0.81553933409162
-0.4,100,"propCI","rho",0.9696,0.956450582252332,0.978989126372573
-0.4,1600,"stdCI","rho",0.9606,0.946104298791289,0.971426128495471
-0.4,1600,"stuCI","rho",0.9624,0.948158745983707,0.972954135013844
-0.4,1600,"pctCI","rho",0.7529,0.724716417124569,0.779111899961611
-0.4,1600,"ctrCI","rho",0.6984,0.668728068364876,0.726526843979058
-0.4,1600,"bcCI","rho",0.681,0.650956367621618,0.70963442173559
-0.4,1600,"bcaCI","rho",0.6801,0.650038409869202,0.708759404320894
-0.4,1600,"propCI","rho",0.9598,0.945193307230717,0.970744841714244
-0.4,200,"stdCI","rho",0.9644,0.950449563762366,0.974643512291651
-0.4,200,"stuCI","rho",0.9714,0.958544998205144,0.980475450819414
-0.4,200,"pctCI","rho",0.9167,0.8973926040914,0.932725650475341
-0.4,200,"ctrCI","rho",0.7625,0.734634331029141,0.788318635739583
-0.4,200,"bcCI","rho",0.7656,0.737840873401319,0.791287744898895
-0.4,200,"bcaCI","rho",0.762,0.73411732659065,0.787839566566341
-0.4,200,"propCI","rho",0.9653,0.951483381550502,0.9754006646692
-0.4,3200,"stdCI","rho",0.9575,0.942580996155916,0.968779114453835
-0.4,3200,"stuCI","rho",0.9583,0.943488512750329,0.969463997299309
-0.4,3200,"pctCI","rho",0.6826,0.652588596359274,0.711189703647779
-0.4,3200,"ctrCI","rho",0.6308,0.599935553442038,0.660646666376783
-0.4,3200,"bcCI","rho",0.6019,0.570721809648693,0.632285469810791
-0.4,3200,"bcaCI","rho",0.6021,0.570923599225521,0.63248212326462
-0.4,3200,"propCI","rho",0.9552,0.939978177939577,0.966803575935001
-0.4,400,"stdCI","rho",0.9606,0.946104298791289,0.971426128495471
-0.4,400,"stuCI","rho",0.9655,0.951713377625547,0.975568651336774
-0.4,400,"pctCI","rho",0.8873,0.865664199374852,0.905896334385728
-0.4,400,"ctrCI","rho",0.7702,0.74260254964035,0.795689922768005
-0.4,400,"bcCI","rho",0.7762,0.748819995356899,0.801425300166511
-0.4,400,"bcaCI","rho",0.7731,0.745606709977313,0.798462964641638
-0.4,400,"propCI","rho",0.9625,0.94827307966865,0.973038819124445
-0.4,800,"stdCI","rho",0.9628,0.948616208980906,0.973292738295752
-0.4,800,"stuCI","rho",0.9658,0.952058551492548,0.9758204440993
-0.4,800,"pctCI","rho",0.8378,0.813140468591604,0.85981779422667
