"phi","n","blksize","CI","target","cov","LB","UB","CP_LB","CP_UB"
-0.2,100,10,"stdCI","sigma",0.8511,0.843936995465384,0.857991429310779,0.843970578212224,0.858024287755365
-0.2,100,10,"stuCI","sigma",0.8874,0.881003952961352,0.893496125144336,0.881041346712112,0.893532043847834
-0.2,100,10,"pctCI","sigma",0.8414,0.83405838083035,0.84847759472537,0.834090964899715,0.848509615921586
-0.2,100,10,"ctrCI","sigma",0.8515,0.844344574653423,0.8583835385773,0.844378198729674,0.858416431402111
-0.2,100,10,"bcCI","sigma",0.8478,0.840575123968721,0.854755870515968,0.840608366204896,0.854788444870973
-0.2,100,10,"bcaCI","sigma",0.8525,0.845363598914067,0.859363735389346,0.845397326367427,0.859396714111649
-0.2,100,10,"propCI","sigma",0.8463,0.839047382423989,0.853284779799779,0.839080470145567,0.853317224762611
-0.2,100,5,"stdCI","sigma",0.8658,0.858927436157098,0.872389528984173,0.858962546362517,0.872423642382585
-0.2,100,5,"stuCI","sigma",0.8834,0.876910741442694,0.889592469214265,0.876947708106581,0.889628057763537
-0.2,100,5,"pctCI","sigma",0.8545,0.847401977523336,0.861323798647153,0.847435911964344,0.861356948933222
-0.2,100,5,"ctrCI","sigma",0.8673,0.860458515259486,0.873857279219546,0.860493782406172,0.873891519607074
-0.2,100,5,"bcCI","sigma",0.8689,0.862091977102961,0.875422568372113,0.8621274118951,0.875456943975751
-0.2,100,5,"bcaCI","sigma",0.8799,0.873331127095659,0.88617482236712,0.873367721763609,0.886210120345738
-0.2,100,5,"propCI","sigma",0.8632,0.856274221774166,0.869844771897545,0.856309060451147,0.869878664683527
-0.2,1600,12,"stdCI","sigma",0.9364,0.931395598817207,0.941065746688475,0.931438493122897,0.941105444603188
-0.2,1600,12,"stuCI","sigma",0.9393,0.934397400766418,0.943861616788687,0.934440646395145,0.94390151298112
-0.2,1600,12,"pctCI","sigma",0.9342,0.929120265050796,0.938942842302598,0.929162895801971,0.938982386882442
-0.2,1600,12,"ctrCI","sigma",0.9354,0.930361159224483,0.940100987546209,0.930403933430553,0.940140616060421
-0.2,1600,12,"bcCI","sigma",0.9341,0.929016878193278,0.938846309163945,0.929059497021706,0.938885846717949
-0.2,1600,12,"bcaCI","sigma",0.9318,0.926639849579956,0.936625176049125,0.926682195480122,0.936664550734734
-0.2,1600,12,"propCI","sigma",0.9335,0.928396623958577,0.938267043280522,0.928439171351025,0.938306538580606
-0.2,1600,24,"stdCI","sigma",0.9327,0.927569794883624,0.937494511828635,0.927612247291408,0.937533950531095
-0.2,1600,24,"stuCI","sigma",0.9373,0.932326881502833,0.941933742233932,0.932369884345385,0.941973502169278
-0.2,1600,24,"pctCI","sigma",0.9307,0.925503584677967,0.935562318945525,0.925545800889562,0.935601614908657
-0.2,1600,24,"ctrCI","sigma",0.9305,0.925297030056914,0.935369033123467,0.925339222744936,0.935408314718141
-0.2,1600,24,"bcCI","sigma",0.9327,0.927569794883624,0.937494511828635,0.927612247291408,0.937533950531095
-0.2,1600,24,"bcaCI","sigma",0.9348,0.929740653721584,0.93952197346542,0.929783356111327,0.939561560099879
-0.2,1600,24,"propCI","sigma",0.9316,0.926433228763274,0.936431956556191,0.926475551044324,0.936471316967375
-0.2,200,12,"stdCI","sigma",0.8886,0.882232394341845,0.894666743447966,0.882269916647348,0.89470276077401
-0.2,200,12,"stuCI","sigma",0.9088,0.902947945350277,0.914335317169852,0.902987667309795,0.914372959429758
-0.2,200,12,"pctCI","sigma",0.8824,0.875887812607536,0.888616180765389,0.87592467282962,0.888651686449957
-0.2,200,12,"ctrCI","sigma",0.8868,0.880389816069301,0.89291073209669,0.880427145618546,0.892946601413943
-0.2,200,12,"bcCI","sigma",0.8894,0.883051480672352,0.89544703009277,0.883089088795363,0.89548311305417
-0.2,200,12,"bcaCI","sigma",0.8946,0.888378058675966,0.900516373393074,0.888416226955405,0.900552880669516
-0.2,200,12,"propCI","sigma",0.8862,0.879775734526545,0.892325283635793,0.879812999924047,0.892361103517605
-0.2,200,6,"stdCI","sigma",0.8858,0.879366377392715,0.891934954065399,0.879403600049751,0.891970740963205
-0.2,200,6,"stuCI","sigma",0.8959,0.889710405390582,0.901783006135115,0.889748714376708,0.9018196188308
-0.2,200,6,"pctCI","sigma",0.8818,0.875274125633571,0.888030337291109,0.875310922051676,0.88806579319644
-0.2,200,6,"ctrCI","sigma",0.8838,0.877319954305273,0.889982943219259,0.87735696358198,0.890018564878724
-0.2,200,6,"bcCI","sigma",0.8886,0.882232394341845,0.894666743447966,0.882269916647348,0.89470276077401
-0.2,200,6,"bcaCI","sigma",0.8968,0.890632968933592,0.902659735846424,0.890671375496858,0.902696421361863
-0.2,200,6,"propCI","sigma",0.8855,0.879059375507563,0.891642190904117,0.879096566123493,0.891677953049838
-0.2,3200,15,"stdCI","sigma",0.9406,0.935744003514238,0.945113968261627,0.935787408197689,0.945153951798484
-0.2,3200,15,"stuCI","sigma",0.9424,0.937609565945778,0.946846955371381,0.937653192588865,0.946887058146341
-0.2,3200,15,"pctCI","sigma",0.9388,0.933879639007935,0.943379780393013,0.933922823727746,0.943419642729975
-0.2,3200,15,"ctrCI","sigma",0.9376,0.932637370479841,0.942223012530722,0.932680409598104,0.942262793044462
-0.2,3200,15,"bcCI","sigma",0.9406,0.935744003514238,0.945113968261627,0.935787408197689,0.945153951798484
-0.2,3200,15,"bcaCI","sigma",0.9404,0.935536793674388,0.944921339084768,0.935580173821486,0.944961309249284
-0.2,3200,15,"propCI","sigma",0.939,0.93408673301928,0.943572525667916,0.934129942085294,0.943612401564137
-0.2,3200,30,"stdCI","sigma",0.9439,0.93916515440938,0.948290155866628,0.939208967652404,0.948330356401521
-0.2,3200,30,"stuCI","sigma",0.947,0.94238293313502,0.951269866963641,0.942427137169135,0.951310264475914
-0.2,3200,30,"pctCI","sigma",0.942,0.937194890347625,0.946461953549674,0.937238467486345,0.946502030004169
-0.2,3200,30,"ctrCI","sigma",0.9413,0.936469354849437,0.945788053207668,0.936512845605361,0.94582808335583
-0.2,3200,30,"bcCI","sigma",0.9425,0.937713244470407,0.94694319617824,0.937756883506078,0.946983305517112
-0.2,3200,30,"bcaCI","sigma",0.9418,0.936987575518275,0.946269429613309,0.937031127944014,0.946309492869048
-0.2,3200,30,"propCI","sigma",0.9433,0.938542812746415,0.947712982209688,0.938586551164543,0.947753143822287
-0.2,400,15,"stdCI","sigma",0.914,0.908293319658834,0.919385838383384,0.908333621220776,0.919423885761983
-0.2,400,15,"stuCI","sigma",0.9267,0.9213746971465,0.931694393292885,0.921416445989586,0.931733398832271
-0.2,400,15,"pctCI","sigma",0.9107,0.904900397354935,0.916181366466295,0.904940330339945,0.916219157492415
-0.2,400,15,"ctrCI","sigma",0.9141,0.908396172565859,0.919482906455583,0.908436485339517,0.919520961560309
-0.2,400,15,"bcCI","sigma",0.9126,0.906853610233007,0.918026653736844,0.906893755099183,0.918064592685111
-0.2,400,15,"bcaCI","sigma",0.9157,0.910042123561099,0.921035690643226,0.91008261607949,0.921073869013698
-0.2,400,15,"propCI","sigma",0.9132,0.907470575944143,0.91860921413904,0.90751078790482,0.918647199617438
-0.2,400,8,"stdCI","sigma",0.9122,0.906442343196191,0.917638236630665,0.90648244338259,0.917676144509643
-0.2,400,8,"stuCI","sigma",0.9183,0.912718044954641,0.923557711892184,0.912758831050349,0.923596089098393
-0.2,400,8,"pctCI","sigma",0.9091,0.90325617754416,0.914626848413486,0.90329593276829,0.914664514217253
-0.2,400,8,"ctrCI","sigma",0.9094,0.903564428255866,0.914918361111805,0.903604216765083,0.914956050439235
-0.2,400,8,"bcCI","sigma",0.9148,0.909116205303321,0.920162320473761,0.909156596631952,0.920200429589435
-0.2,400,8,"bcaCI","sigma",0.9172,0.911585732145156,0.922490895438269,0.911626393803114,0.922529188750336
-0.2,400,8,"propCI","sigma",0.9115,0.905722708769919,0.916958423678933,0.90576273086132,0.916996277093337
-0.2,800,10,"stdCI","sigma",0.9313,0.926123320294872,0.936142104513976,0.926165607180286,0.936181443481006
-0.2,800,10,"stuCI","sigma",0.9343,0.929223655112469,0.939039372230309,0.929266297791224,0.939078923831239
-0.2,800,10,"pctCI","sigma",0.9279,0.92261288417261,0.932855251148916,0.922654772559758,0.932894344471602
-0.2,800,10,"ctrCI","sigma",0.9281,0.922819287946867,0.93304868811341,0.922861199645326,0.933087796013507
-0.2,800,10,"bcCI","sigma",0.9298,0.924574182125454,0.934692439318396,0.924616292614024,0.934731670492505
-0.2,800,10,"bcaCI","sigma",0.9291,0.92385147771668,0.934015701707246,0.923893506209095,0.934054882260672
