"phi","n","blksize","CI","target","cov","LB","UB","CP_LB","CP_UB"
-0.2,100,10,"stdCI","mu",0.9258,0.92044631813466,0.930823488150226,0.920487962675136,0.930862427502134
-0.2,100,10,"stuCI","mu",0.9586,0.954463931749953,0.962379360183998,0.95450967802221,0.962420416351369
-0.2,100,10,"pctCI","mu",0.925,0.919621276969902,0.930049165278753,0.919662829044959,0.930088045553094
-0.2,100,10,"ctrCI","mu",0.9232,0.917765556205001,0.928306315825181,0.917806901055825,0.928345062364402
-0.2,100,10,"bcCI","mu",0.9244,0.919002608524568,0.929468310490177,0.919044091400099,0.929507146309058
-0.2,100,10,"bcaCI","mu",0.9225,0.917044114962956,0.927628312683194,0.917085379524059,0.927667006921267
-0.2,100,10,"propCI","mu",0.9255,0.920136907485784,0.930533137322882,0.920178517324717,0.930572054547304
-0.2,100,5,"stdCI","mu",0.9402,0.93532959855038,0.944728695157395,0.935372954185558,0.944768651925556
-0.2,100,5,"stuCI","mu",0.9551,0.950811348325954,0.959034835501468,0.95085661336895,0.95907570852611
-0.2,100,5,"pctCI","mu",0.9377,0.932740873695425,0.942319429057636,0.93278392491652,0.942359216420096
-0.2,100,5,"ctrCI","mu",0.94,0.935122418073303,0.944536036548708,0.935165749220797,0.94457597989669
-0.2,100,5,"bcCI","mu",0.9373,0.932326881502833,0.941933742233932,0.932369884345385,0.941973502169278
-0.2,100,5,"bcaCI","mu",0.9372,0.93222339204149,0.94183731192201,0.932266382802996,0.941877064987213
-0.2,100,5,"propCI","mu",0.9377,0.932740873695425,0.942319429057636,0.93278392491652,0.942359216420096
-0.2,1600,12,"stdCI","mu",0.9495,0.94498093985835,0.95366982785195,0.945025464661246,0.953710378704153
-0.2,1600,12,"stuCI","mu",0.952,0.947581852522461,0.956066874623383,0.947626703771262,0.956107573244109
-0.2,1600,12,"pctCI","mu",0.9482,0.94362962638341,0.952422199127256,0.943673983719688,0.952462670897287
-0.2,1600,12,"ctrCI","mu",0.9482,0.94362962638341,0.952422199127256,0.943673983719688,0.952462670897287
-0.2,1600,12,"bcCI","mu",0.9475,0.942902311551768,0.951750082676823,0.942946579316724,0.951790511272238
-0.2,1600,12,"bcaCI","mu",0.9471,0.942486800093137,0.951365918854903,0.942531016857117,0.951406322599811
-0.2,1600,12,"propCI","mu",0.9485,0.943941399728795,0.95271018186283,0.943985795579998,0.952750672011387
-0.2,1600,24,"stdCI","mu",0.9462,0.941552152724964,0.950501296166016,0.94159625520795,0.950541643534634
-0.2,1600,24,"stuCI","mu",0.9503,0.945812905893612,0.954437209774249,0.945857534508848,0.954477808550492
-0.2,1600,24,"pctCI","mu",0.9456,0.940929246178648,0.949924688836119,0.94097327282665,0.949964998274559
-0.2,1600,24,"ctrCI","mu",0.9445,0.939787640266106,0.948867184967359,0.93983152858797,0.948907424175086
-0.2,1600,24,"bcCI","mu",0.9443,0.939580128824469,0.948674858130711,0.939623992091436,0.948715084475604
-0.2,1600,24,"bcaCI","mu",0.9444,0.939683882517269,0.9487710235822,0.939727758308082,0.948811256362049
-0.2,1600,24,"propCI","mu",0.9453,0.940617849518961,0.949636328410368,0.940661838352398,0.949676618782638
