"phi","n","blksize","CI","target","cov","LB","UB","CP_LB","CP_UB"
-0.2,100,10,"stdCI","sigma",0.9021,0.896068751736692,0.907819787293332,0.896107735812768,0.90785689878042
-0.2,100,10,"stuCI","sigma",0.9392,0.934293841275767,0.943765256664942,0.934337074711105,0.943805146097691
-0.2,100,10,"pctCI","sigma",0.8962,0.890017911042905,0.902075264920753,0.890056252539587,0.902111901904661
-0.2,100,10,"ctrCI","sigma",0.9001,0.894016917945298,0.905873193856114,0.894055683492749,0.905910145190904
-0.2,100,10,"bcCI","sigma",0.9003,0.894222068365877,0.906067886202746,0.894260855732635,0.906104853585896
-0.2,100,10,"bcaCI","sigma",0.9016,0.895555724223389,0.907333208092881,0.895594653596701,0.907370279611604
-0.2,100,10,"propCI","sigma",0.9,0.893914345455851,0.905775844958324,0.8939531000964,0.905812788266216
-0.2,100,5,"stdCI","sigma",0.9205,0.914983539145807,0.925690474768143,0.915024575184974,0.925729018710017
-0.2,100,5,"stuCI","sigma",0.9372,0.93222339204149,0.94183731192201,0.932266382802996,0.941877064987213
-0.2,100,5,"pctCI","sigma",0.9134,0.90767624866441,0.918803383429268,0.907716483010088,0.91884138439782
-0.2,100,5,"ctrCI","sigma",0.9213,0.915807649065077,0.926465730551954,0.91584877635999,0.926504334763093
-0.2,100,5,"bcCI","sigma",0.9192,0.913644696484294,0.924430347584564,0.913685584654195,0.92446879317369
-0.2,100,5,"bcaCI","sigma",0.919,0.913438757127729,0.924236445364516,0.913479622593789,0.924274875777827
-0.2,100,5,"propCI","sigma",0.9182,0.91261509561605,0.923460740408288,0.912655870384846,0.92349911000194
-0.2,1600,12,"stdCI","sigma",0.9506,0.946124971204467,0.954724899725153,0.946169638903562,0.954765516321568
-0.2,1600,12,"stuCI","sigma",0.9527,0.948310657700524,0.956737496477709,0.94835560146852,0.956778235380418
-0.2,1600,12,"pctCI","sigma",0.9476,0.943006200381585,0.951846112637627,0.94305048091735,0.951886547425479
-0.2,1600,12,"ctrCI","sigma",0.9463,0.941655985288156,0.95059738254341,0.941700100437385,0.950637736207133
-0.2,1600,12,"bcCI","sigma",0.9475,0.942902311551768,0.951750082676823,0.942946579316724,0.951790511272238
-0.2,1600,12,"bcaCI","sigma",0.9481,0.943525710915456,0.952326195876953,0.943570055430544,0.952366661504005
-0.2,1600,12,"propCI","sigma",0.9479,0.943317893376994,0.952134175942345,0.943362212275144,0.952174629258465
-0.2,1600,24,"stdCI","sigma",0.9423,0.937505891280556,0.946750710695684,0.937549505537684,0.946790806900224
-0.2,1600,24,"stuCI","sigma",0.9468,0.942175212225334,0.951077750139863,0.942219390823916,0.951118135163108
-0.2,1600,24,"pctCI","sigma",0.941,0.936158467619992,0.945499182084118,0.936201921450224,0.945539192292851
-0.2,1600,24,"ctrCI","sigma",0.9398,0.934915252174811,0.944343363327333,0.934958558858667,0.9443832932315
-0.2,1600,24,"bcCI","sigma",0.9406,0.935744003514238,0.945113968261627,0.935787408197689,0.945153951798484
-0.2,1600,24,"bcaCI","sigma",0.9402,0.93532959855038,0.944728695157395,0.935372954185558,0.944768651925556
-0.2,1600,24,"propCI","sigma",0.9412,0.936365722026615,0.945691766588441,0.936409200467677,0.945731790096317
-0.2,200,12,"stdCI","sigma",0.9261,0.920755753203096,0.931113814512622,0.920797432477902,0.931152775959724
-0.2,200,12,"stuCI","sigma",0.9462,0.941552152724964,0.950501296166016,0.94159625520795,0.950541643534634
-0.2,200,12,"pctCI","sigma",0.9202,0.914674538768418,0.925399712936338,0.914715540638105,0.925438234226563
-0.2,200,12,"ctrCI","sigma",0.9251,0.919724397706335,0.93014596506421,0.919765961327017,0.93018485273561
-0.2,200,12,"bcCI","sigma",0.9235,0.918074784034103,0.928596849805768,0.918116163345027,0.928635618710294
-0.2,200,12,"bcaCI","sigma",0.9233,0.917868629554041,0.928403163084021,0.917909985888191,0.92844191708167
-0.2,200,12,"propCI","sigma",0.9219,0.916425836492561,0.927047067219018,0.916467032362385,0.927085716500952
-0.2,200,6,"stdCI","sigma",0.9301,0.924883956406104,0.934982425817084,0.924926102097838,0.935021678624784
-0.2,200,6,"stuCI","sigma",0.9397,0.93481167467133,0.944247021258179,0.934854969132326,0.944286944431634
-0.2,200,6,"pctCI","sigma",0.9261,0.920755753203096,0.931113814512622,0.920797432477902,0.931152775959724
-0.2,200,6,"ctrCI","sigma",0.9281,0.922819287946867,0.93304868811341,0.922861199645326,0.933087796013507
-0.2,200,6,"bcCI","sigma",0.9289,0.923645016829114,0.933822321966605,0.923687021930738,0.933861488020869
-0.2,200,6,"bcaCI","sigma",0.9306,0.925400305879543,0.935465677525369,0.92544251032722,0.935504966306369
-0.2,200,6,"propCI","sigma",0.9279,0.92261288417261,0.932855251148916,0.922654772559758,0.932894344471602
-0.2,3200,15,"stdCI","sigma",0.9503,0.945812905893612,0.954437209774249,0.945857534508848,0.954477808550492
